prompt_id,model,device,variant,can_clone,run_index,is_cold,ttfa_ms,gen_s,audio_s,rtf,peak_mem_mb,peak_vram_mb,wall_s,ok,error
1,pocket,cpu,,gated,0,True,79.5,0.3725,1.68,4.51,822.4,,7.341,True,
1,pocket,cpu,,gated,1,False,79.5,0.4319,1.92,4.45,982.2,,0,True,
1,pocket,cpu,,gated,2,False,82.2,0.3776,1.6,4.24,982.2,,0,True,
1,neutts_air,cpu,air,True,0,True,1598.3,3.0695,2.62,0.85,6117.1,,21.936,True,
1,neutts_air,cpu,air,True,1,False,559.9,0.8531,0.98,1.15,6126.9,,0,True,
1,neutts_air,cpu,air,True,2,False,558.2,3.3066,4.52,1.37,6127.1,,0,True,
1,neutts_air,cuda,air,True,0,True,1453.2,1.4532,0.36,0.25,3117.2,3332.1,11.789,True,
1,neutts_air,cuda,air,True,1,False,523.5,0.5959,0.66,1.11,3145.9,3332.3,0,True,
1,neutts_air,cuda,air,True,2,False,341.4,0.3414,0.24,0.7,3147.1,3331.8,0,True,
1,neutts_nano,cpu,nano,True,0,True,956.3,0.9563,0.54,0.56,4947.7,,18.025,True,
1,neutts_nano,cpu,nano,True,1,False,412.5,0.4125,0.56,1.36,4957.6,,0,True,
1,neutts_nano,cpu,nano,True,2,False,423.6,0.5186,0.62,1.2,4958.0,,0,True,
1,neutts_nano,cuda,nano,True,0,True,952.3,1.0703,0.92,0.86,2682.8,3332.3,11.273,True,
1,neutts_nano,cuda,nano,True,1,False,370.1,0.4377,0.74,1.69,2711.6,3332.3,0,True,
1,neutts_nano,cuda,nano,True,2,False,347.7,0.4101,0.72,1.76,2714.0,3332.3,0,True,
1,luxtts,cpu,,True,0,True,1329.5,1.3295,1.248,0.94,2053.8,,12.893,True,
1,luxtts,cpu,,True,1,False,1304.1,1.3041,1.248,0.96,2061.2,,0,True,
1,luxtts,cpu,,True,2,False,1280.0,1.28,1.248,0.97,2061.2,,0,True,
1,luxtts,cuda,,True,0,True,450.0,0.45,2.443,5.43,2398.7,868.7,9.271,True,
1,luxtts,cuda,,True,1,False,262.2,0.2622,2.443,9.32,2426.7,868.7,0,True,
1,luxtts,cuda,,True,2,False,127.3,0.1273,2.443,19.19,2426.7,868.7,0,True,
1,chatterbox,cpu,,True,0,True,8357.4,8.3574,2.08,0.25,4377.8,,36.096,True,
1,chatterbox,cpu,,True,1,False,8140.4,8.1404,2.32,0.28,4576.1,,0,True,
1,chatterbox,cpu,,True,2,False,7873.0,7.873,2.16,0.27,4619.8,,0,True,
1,chatterbox,cuda,,True,0,True,2189.7,2.1897,2.44,1.11,2208.7,3482.0,15.536,True,
1,chatterbox,cuda,,True,1,False,1091.6,1.0916,1.8,1.65,2226.4,3684.0,0,True,
1,chatterbox,cuda,,True,2,False,1158.9,1.1589,2.04,1.76,2232.6,3685.1,0,True,
1,chatterbox_turbo,cpu,turbo,True,0,True,4488.9,4.4889,2.48,0.55,4057.8,,22.565,True,
1,chatterbox_turbo,cpu,turbo,True,1,False,4041.1,4.0411,2.48,0.61,4181.0,,0,True,
1,chatterbox_turbo,cpu,turbo,True,2,False,3779.6,3.7796,2.28,0.6,4208.2,,0,True,
1,chatterbox_turbo,cuda,turbo,True,0,True,1186.0,1.186,2.36,1.99,2326.0,3089.8,12.951,True,
1,chatterbox_turbo,cuda,turbo,True,1,False,623.1,0.6231,2.24,3.6,2342.7,3319.3,0,True,
1,chatterbox_turbo,cuda,turbo,True,2,False,639.1,0.6391,2.32,3.63,2346.1,3319.3,0,True,
1,f5tts,cpu,,True,0,True,46189.2,46.1892,1.888,0.04,2561.5,,145.612,True,
1,f5tts,cpu,,True,1,False,45974.5,45.9745,1.888,0.04,2699.2,,0,True,
1,f5tts,cpu,,True,2,False,44560.6,44.5606,1.888,0.04,2729.1,,0,True,
1,f5tts,cuda,,True,0,True,1805.6,1.8056,1.888,1.05,2668.3,771.7,12.404,True,
1,f5tts,cuda,,True,1,False,1154.1,1.1541,1.888,1.64,2749.0,771.7,0,True,
1,f5tts,cuda,,True,2,False,1127.5,1.1275,1.888,1.67,2756.4,771.7,0,True,
1,coqui,cpu,,True,0,True,2826.7,2.8267,2.273,0.8,2930.3,,24.394,True,
1,coqui,cpu,,True,1,False,3677.2,3.6772,3.009,0.82,2990.2,,0,True,
1,coqui,cpu,,True,2,False,2620.9,2.6209,2.219,0.85,3007.3,,0,True,
1,coqui,cuda,,True,0,True,827.5,0.8275,2.177,2.63,2302.9,1881.8,16.295,True,
1,coqui,cuda,,True,1,False,505.4,0.5054,2.315,4.58,2328.8,1882.0,0,True,
1,coqui,cuda,,True,2,False,444.0,0.444,2.315,5.22,2328.8,1882.0,0,True,
1,omnivoice,cpu,,True,0,True,36482.0,36.482,2.65,0.07,3514.5,,113.51,True,
1,omnivoice,cpu,,True,1,False,35673.4,35.6734,2.72,0.08,3577.6,,0,True,
1,omnivoice,cpu,,True,2,False,35584.0,35.584,2.72,0.08,3577.7,,0,True,
1,omnivoice,cuda,,True,0,True,1714.1,1.7141,2.63,1.53,2087.2,2388.3,10.045,True,
1,omnivoice,cuda,,True,1,False,1142.9,1.1429,2.64,2.31,2247.6,2388.3,0,True,
1,omnivoice,cuda,,True,2,False,1136.6,1.1366,2.65,2.33,2247.6,2388.3,0,True,
1,zipvoice,cpu,,True,0,True,8454.6,8.4546,2.527,0.3,30620.4,,29.2,True,
1,zipvoice,cpu,,True,1,False,6989.8,6.9898,2.467,0.35,30758.3,,0,True,
1,zipvoice,cpu,,True,2,False,6948.0,6.948,2.577,0.37,30758.4,,0,True,
1,zipvoice,cuda,,True,0,True,,,,,,,6.196,False,"OutOfMemoryError: CUDA out of memory. Tried to allocate 20.00 MiB. GPU 0 has a total capacity of 23.56 GiB of which 15.00 MiB is free. Including non-PyTorch memory, this process has 23.50 GiB memory i"
1,voxcpm,cpu,,True,0,True,14477.6,14.4776,1.92,0.13,6679.1,,63.781,True,
1,voxcpm,cpu,,True,1,False,14565.4,14.5654,2.24,0.15,6874.2,,0,True,
1,voxcpm,cpu,,True,2,False,13810.1,13.8101,2.08,0.15,6875.1,,0,True,
1,voxcpm,cuda,,True,0,True,2648.0,2.648,3.2,1.21,3324.4,5961.3,27.712,True,
1,voxcpm,cuda,,True,1,False,1345.3,1.3453,2.72,2.02,3389.1,6146.1,0,True,
1,voxcpm,cuda,,True,2,False,1099.0,1.099,2.24,2.04,3389.1,6146.2,0,True,
1,qwentts_fast,cuda,base,True,0,True,51600.7,51.6007,147.44,2.86,2365.8,5073.7,70.201,True,
